CNIC,Name,Age,Sector,Street,HouseNo,Occupation
61101-7994437-1,Bilal Bhatti,50,E-7,42,128,Teacher
61101-3837494-2,Usman Bhatti,37,F-6,24,194,Engineer
61101-9233634-3,Ali Malik,67,G-6,16,108,Engineer
61101-2092264-4,Zara Bhatti,29,H-8,14,34,Engineer
61101-7647247-5,Ali Bhatti,63,I-8,44,196,Business
61101-6380674-6,Bilal Malik,67,E-8,14,52,Business
61101-1402206-7,Zara Malik,18,F-6,16,126,Student
61101-3444474-8,Ahmed Shah,69,G-6,12,143,Teacher
61101-2292393-9,Usman Bhatti,29,H-9,44,83,Business
61101-7440337-0,Usman Shah,66,I-9,3,178,Student
61101-6292376-1,Ali Raza,43,E-7,10,132,Teacher
61101-7299330-2,Ayesha Bhatti,38,F-7,37,133,Doctor
61101-2679234-3,Usman Malik,66,G-7,36,79,Business
61101-1647466-4,Ali Bhatti,29,H-8,36,177,Teacher
61101-4470372-5,Ayesha Malik,38,I-8,27,143,Doctor
61101-9669642-6,Ayesha Raza,29,E-8,4,47,Business
61101-1979267-7,Ayesha Raza,26,F-8,24,142,Business
61101-2993096-8,Zara Khan,64,G-8,20,133,Student
61101-6202476-9,Bilal Shah,34,H-8,44,79,Student
61101-6204094-0,Zara Khan,23,I-8,14,200,Teacher
61101-2624976-1,Sara Shah,63,E-9,13,32,Doctor
61101-1400263-2,Zara Khan,20,F-9,23,67,Business
61101-7407060-3,Bilal Raza,38,G-9,49,14,Doctor
61101-9034969-4,Ayesha Bhatti,33,H-9,40,94,Student
61101-3797623-5,Usman Khan,37,I-9,30,22,Teacher
61101-3992222-6,Ahmed Raza,33,E-10,36,10,Student
61101-2603463-7,Ali Raza,66,F-10,23,66,Engineer
61101-6229329-8,Ayesha Shah,37,G-10,9,39,Engineer
61101-9973273-9,Usman Bhatti,42,H-10,32,77,Student
61101-6224369-0,Sara Shah,30,I-10,9,14,Teacher
61101-9002237-1,Bilal Raza,64,E-11,2,143,Engineer
61101-7422336-2,Ahmed Shah,69,F-11,3,130,Teacher
61101-1372674-3,Ali Malik,64,G-11,22,126,Doctor
61101-9694002-4,Ayesha Malik,60,H-11,24,196,Business
61101-9799292-5,Ayesha Malik,66,I-11,44,142,Engineer
61101-3733072-6,Bilal Malik,26,E-7,27,109,Business
61101-9993340-7,Ayesha Raza,67,F-7,47,196,Doctor
61101-9036979-8,Bilal Raza,44,G-8,33,142,Teacher
61101-6022204-9,Bilal Shah,36,H-12,22,130,Teacher
61101-1279930-0,Zara Malik,69,I-12,27,97,Teacher
61101-1234727-1,Ayesha Malik,66,E-8,16,134,Doctor
61101-6490693-2,Zara Khan,23,F-8,24,19,Student
61101-2402492-3,Bilal Raza,38,G-7,4,136,Student
61101-9720490-4,Ayesha Bhatti,32,H-9,47,196,Doctor
61101-3222394-5,Ahmed Raza,26,I-9,22,46,Teacher
61101-7434720-6,Zara Malik,20,E-9,43,103,Doctor
61101-6407026-7,Zara Raza,62,F-6,3,109,Doctor
61101-9792629-8,Sara Bhatti,49,G-6,14,37,Doctor
61101-1399430-9,Usman Shah,60,H-10,22,23,Teacher
